LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate 
CN1209900000000,12,99,"Palm Beach County, FL",2014,"685,142","645,048","40,094",5.9
CN1210100000000,12,101,"Pasco County, FL",2014,"213,127","198,932","14,195",6.7
CN1210300000000,12,103,"Pinellas County, FL",2014,"471,925","444,736","27,189",5.8
CN1210500000000,12,105,"Polk County, FL",2014,"278,642","258,599","20,043",7.2
CN1210700000000,12,107,"Putnam County, FL",2014,"27,957","25,521","2,436",8.7
CN1210900000000,12,109,"St. Johns County, FL",2014,"110,712","105,521","5,191",4.7
CN1211100000000,12,111,"St. Lucie County, FL",2014,"130,594","120,153","10,441",8
CN1211300000000,12,113,"Santa Rosa County, FL",2014,"73,160","69,164","3,996",5.5
CN1211500000000,12,115,"Sarasota County, FL",2014,"175,008","164,803","10,205",5.8
CN1211700000000,12,117,"Seminole County, FL",2014,"236,162","222,709","13,453",5.7
CN1211900000000,12,119,"Sumter County, FL",2014,"28,279","25,925","2,354",8.3
CN1212100000000,12,121,"Suwannee County, FL",2014,"17,980","16,850","1,130",6.3
CN1212300000000,12,123,"Taylor County, FL",2014,"9,367","8,725",642,6.9
CN1212500000000,12,125,"Union County, FL",2014,"4,737","4,454",283,6
CN1212700000000,12,127,"Volusia County, FL",2014,"237,929","221,705","16,224",6.8
CN1212900000000,12,129,"Wakulla County, FL",2014,"14,317","13,575",742,5.2
CN1213100000000,12,131,"Walton County, FL",2014,"27,362","25,917","1,445",5.3
CN1213300000000,12,133,"Washington County, FL",2014,"9,699","9,047",652,6.7
CN1300100000000,13,1,"Appling County, GA",2014,"8,672","7,906",766,8.8
CN1300300000000,13,3,"Atkinson County, GA",2014,"3,620","3,344",276,7.6
CN1300500000000,13,5,"Bacon County, GA",2014,"4,852","4,513",339,7
CN1300700000000,13,7,"Baker County, GA",2014,"1,116","1,015",101,9.1
CN1300900000000,13,9,"Baldwin County, GA",2014,"18,492","16,878","1,614",8.7
CN1301100000000,13,11,"Banks County, GA",2014,"8,156","7,615",541,6.6
CN1301300000000,13,13,"Barrow County, GA",2014,"35,215","33,000","2,215",6.3
CN1301500000000,13,15,"Bartow County, GA",2014,"46,648","43,302","3,346",7.2
CN1301700000000,13,17,"Ben Hill County, GA",2014,"5,601","5,041",560,10
CN1301900000000,13,19,"Berrien County, GA",2014,"7,241","6,622",619,8.5
CN1302100000000,13,21,"Bibb County, GA",2014,"69,074","63,527","5,547",8
CN1302300000000,13,23,"Bleckley County, GA",2014,"4,635","4,114",521,11.2
CN1302500000000,13,25,"Brantley County, GA",2014,"6,895","6,257",638,9.3
CN1302700000000,13,27,"Brooks County, GA",2014,"6,635","6,158",477,7.2
CN1302900000000,13,29,"Bryan County, GA",2014,"15,554","14,551","1,003",6.4
CN1303100000000,13,31,"Bulloch County, GA",2014,"34,566","32,032","2,534",7.3
CN1303300000000,13,33,"Burke County, GA",2014,"9,179","8,257",922,10
CN1303500000000,13,35,"Butts County, GA",2014,"10,035","9,282",753,7.5
CN1303700000000,13,37,"Calhoun County, GA",2014,"2,141","1,992",149,7
CN1303900000000,13,39,"Camden County, GA",2014,"21,978","20,525","1,453",6.6
CN1304300000000,13,43,"Candler County, GA",2014,"5,078","4,727",351,6.9
CN1304500000000,13,45,"Carroll County, GA",2014,"52,005","47,742","4,263",8.2
CN1304700000000,13,47,"Catoosa County, GA",2014,"31,064","29,154","1,910",6.1
CN1304900000000,13,49,"Charlton County, GA",2014,"4,809","4,454",355,7.4
CN1305100000000,13,51,"Chatham County, GA",2014,"131,837","122,189","9,648",7.3
CN1305300000000,13,53,"Chattahoochee County, GA",2014,"2,231","2,014",217,9.7
CN1305500000000,13,55,"Chattooga County, GA",2014,"10,525","9,723",802,7.6
CN1305700000000,13,57,"Cherokee County, GA",2014,"118,102","111,619","6,483",5.5
CN1305900000000,13,59,"Clarke County, GA",2014,"56,269","52,361","3,908",6.9
CN1306100000000,13,61,"Clay County, GA",2014,916,812,104,11.4
CN1306300000000,13,63,"Clayton County, GA",2014,"124,799","113,183","11,616",9.3
CN1306500000000,13,65,"Clinch County, GA",2014,"2,829","2,592",237,8.4
CN1306700000000,13,67,"Cobb County, GA",2014,"393,784","370,431","23,353",5.9
CN1306900000000,13,69,"Coffee County, GA",2014,"17,651","16,214","1,437",8.1
CN1307100000000,13,71,"Colquitt County, GA",2014,"20,097","18,473","1,624",8.1
CN1307300000000,13,73,"Columbia County, GA",2014,"66,486","62,620","3,866",5.8
CN1307500000000,13,75,"Cook County, GA",2014,"7,402","6,801",601,8.1
CN1307700000000,13,77,"Coweta County, GA",2014,"66,561","62,459","4,102",6.2
CN1307900000000,13,79,"Crawford County, GA",2014,"5,617","5,197",420,7.5
CN1308100000000,13,81,"Crisp County, GA",2014,"9,463","8,626",837,8.8
CN1308300000000,13,83,"Dade County, GA",2014,"7,892","7,394",498,6.3
CN1308500000000,13,85,"Dawson County, GA",2014,"10,806","10,148",658,6.1
CN1308700000000,13,87,"Decatur County, GA",2014,"11,385","10,457",928,8.2
CN1308900000000,13,89,"DeKalb County, GA",2014,"369,064","342,314","26,750",7.2
CN1309100000000,13,91,"Dodge County, GA",2014,"7,439","6,712",727,9.8
CN1309300000000,13,93,"Dooly County, GA",2014,"4,640","4,194",446,9.6
CN1309500000000,13,95,"Dougherty County, GA",2014,"38,686","35,112","3,574",9.2
CN1309700000000,13,97,"Douglas County, GA",2014,"67,728","62,712","5,016",7.4
CN1309900000000,13,99,"Early County, GA",2014,"4,347","3,957",390,9
CN1310100000000,13,101,"Echols County, GA",2014,"1,784","1,680",104,5.8
CN1310300000000,13,103,"Effingham County, GA",2014,"26,287","24,651","1,636",6.2
CN1310500000000,13,105,"Elbert County, GA",2014,"8,073","7,377",696,8.6
CN1310700000000,13,107,"Emanuel County, GA",2014,"8,592","7,693",899,10.5
CN1310900000000,13,109,"Evans County, GA",2014,"4,741","4,435",306,6.5
CN1311100000000,13,111,"Fannin County, GA",2014,"9,863","9,114",749,7.6
CN1311300000000,13,113,"Fayette County, GA",2014,"53,797","50,516","3,281",6.1
CN1311500000000,13,115,"Floyd County, GA",2014,"43,317","39,889","3,428",7.9
CN1311700000000,13,117,"Forsyth County, GA",2014,"100,452","95,173","5,279",5.3
CN1311900000000,13,119,"Franklin County, GA",2014,"9,257","8,505",752,8.1
CN1312100000000,13,121,"Fulton County, GA",2014,"509,935","473,843","36,092",7.1
CN1312300000000,13,123,"Gilmer County, GA",2014,"11,973","11,103",870,7.3
CN1312500000000,13,125,"Glascock County, GA",2014,"1,267","1,165",102,8.1
CN1312700000000,13,127,"Glynn County, GA",2014,"37,111","34,343","2,768",7.5
CN1312900000000,13,129,"Gordon County, GA",2014,"26,095","24,193","1,902",7.3
CN1313100000000,13,131,"Grady County, GA",2014,"10,462","9,694",768,7.3
CN1313300000000,13,133,"Greene County, GA",2014,"6,430","5,903",527,8.2
CN1313500000000,13,135,"Gwinnett County, GA",2014,"444,691","417,766","26,925",6.1
CN1313700000000,13,137,"Habersham County, GA",2014,"18,985","17,663","1,322",7
CN1313900000000,13,139,"Hall County, GA",2014,"90,142","84,824","5,318",5.9
CN1314100000000,13,141,"Hancock County, GA",2014,"2,524","2,229",295,11.7
CN1314300000000,13,143,"Haralson County, GA",2014,"11,883","10,940",943,7.9
CN1314500000000,13,145,"Harris County, GA",2014,"15,737","14,796",941,6
CN1314700000000,13,147,"Hart County, GA",2014,"10,393","9,613",780,7.5
CN1314900000000,13,149,"Heard County, GA",2014,"4,971","4,577",394,7.9
CN1315100000000,13,151,"Henry County, GA",2014,"103,608","96,093","7,515",7.3
CN1315300000000,13,153,"Houston County, GA",2014,"65,984","61,489","4,495",6.8
CN1315500000000,13,155,"Irwin County, GA",2014,"3,144","2,845",299,9.5
CN1315700000000,13,157,"Jackson County, GA",2014,"29,838","28,090","1,748",5.9
CN1315900000000,13,159,"Jasper County, GA",2014,"6,357","5,934",423,6.7
CN1316100000000,13,161,"Jeff Davis County, GA",2014,"6,401","5,878",523,8.2
CN1316300000000,13,163,"Jefferson County, GA",2014,"6,658","5,908",750,11.3
CN1316500000000,13,165,"Jenkins County, GA",2014,"3,264","2,938",326,10
CN1316700000000,13,167,"Johnson County, GA",2014,"3,939","3,600",339,8.6
CN1316900000000,13,169,"Jones County, GA",2014,"13,703","12,837",866,6.3
CN1317100000000,13,171,"Lamar County, GA",2014,"7,795","7,050",745,9.6
CN1317300000000,13,173,"Lanier County, GA",2014,"3,794","3,488",306,8.1
CN1317500000000,13,175,"Laurens County, GA",2014,"19,047","17,289","1,758",9.2
CN1317700000000,13,177,"Lee County, GA",2014,"14,153","13,270",883,6.2
CN1317900000000,13,179,"Liberty County, GA",2014,"25,653","23,692","1,961",7.6
CN1318100000000,13,181,"Lincoln County, GA",2014,"3,339","3,061",278,8.3
CN1318300000000,13,183,"Long County, GA",2014,"6,706","6,208",498,7.4
CN1318500000000,13,185,"Lowndes County, GA",2014,"50,585","46,907","3,678",7.3
CN1318700000000,13,187,"Lumpkin County, GA",2014,"15,270","14,297",973,6.4
CN1318900000000,13,189,"McDuffie County, GA",2014,"8,807","7,927",880,10
CN1319100000000,13,191,"McIntosh County, GA",2014,"5,873","5,409",464,7.9
CN1319300000000,13,193,"Macon County, GA",2014,"4,743","4,184",559,11.8
CN1319500000000,13,195,"Madison County, GA",2014,"12,716","11,866",850,6.7
CN1319700000000,13,197,"Marion County, GA",2014,"3,460","3,194",266,7.7
CN1319900000000,13,199,"Meriwether County, GA",2014,"8,753","7,898",855,9.8
CN1320100000000,13,201,"Miller County, GA",2014,"2,677","2,507",170,6.4
CN1320500000000,13,205,"Mitchell County, GA",2014,"8,771","8,082",689,7.9
CN1320700000000,13,207,"Monroe County, GA",2014,"12,741","11,886",855,6.7
CN1320900000000,13,209,"Montgomery County, GA",2014,"3,861","3,463",398,10.3
CN1321100000000,13,211,"Morgan County, GA",2014,"8,366","7,816",550,6.6
CN1321300000000,13,213,"Murray County, GA",2014,"15,882","14,395","1,487",9.4
CN1321500000000,13,215,"Muscogee County, GA",2014,"80,893","74,074","6,819",8.4
CN1321700000000,13,217,"Newton County, GA",2014,"47,979","44,043","3,936",8.2
CN1321900000000,13,219,"Oconee County, GA",2014,"17,273","16,397",876,5.1
CN1322100000000,13,221,"Oglethorpe County, GA",2014,"6,665","6,223",442,6.6
CN1322300000000,13,223,"Paulding County, GA",2014,"74,893","70,284","4,609",6.2
CN1322500000000,13,225,"Peach County, GA",2014,"11,496","10,406","1,090",9.5
CN1322700000000,13,227,"Pickens County, GA",2014,"13,834","12,912",922,6.7
CN1322900000000,13,229,"Pierce County, GA",2014,"8,095","7,490",605,7.5
CN1323100000000,13,231,"Pike County, GA",2014,"8,199","7,624",575,7
CN1323300000000,13,233,"Polk County, GA",2014,"18,360","16,924","1,436",7.8
CN1323500000000,13,235,"Pulaski County, GA",2014,"4,066","3,748",318,7.8
CN1323700000000,13,237,"Putnam County, GA",2014,"8,097","7,364",733,9.1
CN1323900000000,13,239,"Quitman County, GA",2014,891,817,74,8.3
CN1324100000000,13,241,"Rabun County, GA",2014,"6,556","6,019",537,8.2
CN1324300000000,13,243,"Randolph County, GA",2014,"2,722","2,458",264,9.7
CN1324500000000,13,245,"Richmond County, GA",2014,"84,712","77,346","7,366",8.7
CN1324700000000,13,247,"Rockdale County, GA",2014,"42,070","38,762","3,308",7.9
CN1324900000000,13,249,"Schley County, GA",2014,"2,177","2,011",166,7.6
CN1325100000000,13,251,"Screven County, GA",2014,"5,367","4,829",538,10
CN1325300000000,13,253,"Seminole County, GA",2014,"3,122","2,827",295,9.4
CN1325500000000,13,255,"Spalding County, GA",2014,"27,298","24,715","2,583",9.5
CN1325700000000,13,257,"Stephens County, GA",2014,"11,215","10,360",855,7.6
CN1325900000000,13,259,"Stewart County, GA",2014,"2,191","2,026",165,7.5
CN1326100000000,13,261,"Sumter County, GA",2014,"13,447","12,171","1,276",9.5
CN1326300000000,13,263,"Talbot County, GA",2014,"2,808","2,587",221,7.9
CN1326500000000,13,265,"Taliaferro County, GA",2014,593,528,65,11
CN1326700000000,13,267,"Tattnall County, GA",2014,"9,530","8,867",663,7
CN1326900000000,13,269,"Taylor County, GA",2014,"2,848","2,557",291,10.2
CN1327100000000,13,271,"Telfair County, GA",2014,"5,254","4,740",514,9.8
CN1327300000000,13,273,"Terrell County, GA",2014,"3,621","3,331",290,8
CN1327500000000,13,275,"Thomas County, GA",2014,"17,162","15,659","1,503",8.8
CN1327700000000,13,277,"Tift County, GA",2014,"18,267","16,934","1,333",7.3
CN1327900000000,13,279,"Toombs County, GA",2014,"12,247","11,037","1,210",9.9
CN1328100000000,13,281,"Towns County, GA",2014,"4,143","3,761",382,9.2
CN1328300000000,13,283,"Treutlen County, GA",2014,"2,797","2,500",297,10.6
CN1328500000000,13,285,"Troup County, GA",2014,"36,125","33,476","2,649",7.3
CN1328700000000,13,287,"Turner County, GA",2014,"3,260","3,001",259,7.9
CN1328900000000,13,289,"Twiggs County, GA",2014,"2,998","2,665",333,11.1
CN1329100000000,13,291,"Union County, GA",2014,"9,523","8,895",628,6.6
CN1329300000000,13,293,"Upson County, GA",2014,"11,315","10,308","1,007",8.9
CN1329500000000,13,295,"Walker County, GA",2014,"29,424","27,300","2,124",7.2
CN1329700000000,13,297,"Walton County, GA",2014,"41,444","38,774","2,670",6.4
CN1329900000000,13,299,"Ware County, GA",2014,"14,771","13,602","1,169",7.9
CN1330100000000,13,301,"Warren County, GA",2014,"2,717","2,453",264,9.7
CN1330300000000,13,303,"Washington County, GA",2014,"7,560","6,947",613,8.1
CN1330500000000,13,305,"Wayne County, GA",2014,"11,840","10,805","1,035",8.7
CN1330700000000,13,307,"Webster County, GA",2014,"1,015",928,87,8.6
CN1330900000000,13,309,"Wheeler County, GA",2014,"1,868","1,637",231,12.4
CN1331100000000,13,311,"White County, GA",2014,"13,844","12,983",861,6.2
CN1331300000000,13,313,"Whitfield County, GA",2014,"44,763","41,252","3,511",7.8
CN1331500000000,13,315,"Wilcox County, GA",2014,"2,843","2,583",260,9.1
CN1331700000000,13,317,"Wilkes County, GA",2014,"3,739","3,391",348,9.3
CN1331900000000,13,319,"Wilkinson County, GA",2014,"3,720","3,397",323,8.7
CN1332100000000,13,321,"Worth County, GA",2014,"8,949","8,244",705,7.9
CN1500100000000,15,1,"Hawaii County, HI",2014,"87,634","82,776","4,858",5.5
CN1500300000000,15,3,"Honolulu County/city, HI",2014,"461,329","442,513","18,816",4.1
CN1500700000000,15,7,"Kauai County, HI",2014,"34,761","33,076","1,685",4.8
CN1500900000000,15,9,"Maui County, HI",2014,"82,358","78,620","3,738",4.5
CN1600100000000,16,1,"Ada County, ID",2014,"212,027","203,188","8,839",4.2
CN1600300000000,16,3,"Adams County, ID",2014,"1,678","1,511",167,10
CN1600500000000,16,5,"Bannock County, ID",2014,"41,585","39,690","1,895",4.6
CN1600700000000,16,7,"Bear Lake County, ID",2014,"2,864","2,735",129,4.5
CN1600900000000,16,9,"Benewah County, ID",2014,"3,972","3,652",320,8.1
CN1601100000000,16,11,"Bingham County, ID",2014,"22,093","21,095",998,4.5
CN1601300000000,16,13,"Blaine County, ID",2014,"11,475","10,963",512,4.5
CN1601500000000,16,15,"Boise County, ID",2014,"2,924","2,733",191,6.5
CN1601700000000,16,17,"Bonner County, ID",2014,"18,254","16,950","1,304",7.1
CN1601900000000,16,19,"Bonneville County, ID",2014,"49,667","47,587","2,080",4.2
CN1602100000000,16,21,"Boundary County, ID",2014,"4,917","4,620",297,6
CN1602300000000,16,23,"Butte County, ID",2014,"1,304","1,234",70,5.4
CN1602500000000,16,25,"Camas County, ID",2014,632,598,34,5.4
CN1602700000000,16,27,"Canyon County, ID",2014,"89,166","83,868","5,298",5.9
CN1602900000000,16,29,"Caribou County, ID",2014,"3,857","3,694",163,4.2
CN1603100000000,16,31,"Cassia County, ID",2014,"11,255","10,776",479,4.3
CN1603300000000,16,33,"Clark County, ID",2014,443,422,21,4.7
CN1603500000000,16,35,"Clearwater County, ID",2014,"3,135","2,844",291,9.3
CN1603700000000,16,37,"Custer County, ID",2014,"2,140","1,993",147,6.9
CN1603900000000,16,39,"Elmore County, ID",2014,"11,026","10,447",579,5.3
CN1604100000000,16,41,"Franklin County, ID",2014,"6,414","6,197",217,3.4
CN1604300000000,16,43,"Fremont County, ID",2014,"6,986","6,703",283,4.1
CN1604500000000,16,45,"Gem County, ID",2014,"7,523","7,079",444,5.9
CN1604700000000,16,47,"Gooding County, ID",2014,"7,986","7,666",320,4
CN1604900000000,16,49,"Idaho County, ID",2014,"6,496","6,009",487,7.5
CN1605100000000,16,51,"Jefferson County, ID",2014,"12,268","11,774",494,4
CN1605300000000,16,53,"Jerome County, ID",2014,"11,122","10,677",445,4
CN1605500000000,16,55,"Kootenai County, ID",2014,"70,570","66,492","4,078",5.8
CN1605700000000,16,57,"Latah County, ID",2014,"19,321","18,539",782,4
CN1605900000000,16,59,"Lemhi County, ID",2014,"3,364","3,102",262,7.8
CN1606100000000,16,61,"Lewis County, ID",2014,"1,597","1,524",73,4.6
CN1606300000000,16,63,"Lincoln County, ID",2014,"2,606","2,457",149,5.7
CN1606500000000,16,65,"Madison County, ID",2014,"19,049","18,437",612,3.2
CN1606700000000,16,67,"Minidoka County, ID",2014,"10,422","9,946",476,4.6
CN1606900000000,16,69,"Nez Perce County, ID",2014,"20,373","19,546",827,4.1
CN1607100000000,16,71,"Oneida County, ID",2014,"2,119","2,038",81,3.8
CN1607300000000,16,73,"Owyhee County, ID",2014,"5,027","4,842",185,3.7
CN1607500000000,16,75,"Payette County, ID",2014,"10,973","10,353",620,5.7
CN1607700000000,16,77,"Power County, ID",2014,"3,982","3,788",194,4.9
CN1607900000000,16,79,"Shoshone County, ID",2014,"5,210","4,692",518,9.9
CN1608100000000,16,81,"Teton County, ID",2014,"5,629","5,403",226,4
